module_id	family_id
M10299	1159
M102990	1159
M102992	13796
M102998	13797
M103	553
M1030	13798
M10300	2972
M10301	13799
M103015	13800
M103018	1159
M103021	13801
M103025	13802
M103027	2969
M10303	13803
M103031	13804
M103032	2972
M103035	2971
M103037	13805
M103043	13806
M103048	13807
M103052	13808
M103055	13809
M103059	13810
M103064	3
M103068	13745
M103069	1157
M10307	1157
M103071	13746
M103073	13747
M103077	13748
M103082	2965
M103083	2966
M10309	1157
M103091	2967
M103092	13749
M103096	13750
M1031	2966
M10310	13751
M103100	2965
M10311	13752
M103123	13753
M103125	13754
M103126	13755
M103127	2967
M103128	1158
M103130	13756
M103133	13757
M103135	13758
M103141	1158
M10315	13759
M103153	13760
M10316	13761
M103164	13762
M103168	1142
M10317	13763
M103173	13764
M103176	13765
M103178	13766
M10318	13767
M103182	1158
M103185	13768
M103188	13769
M103197	61
M103198	13770
M103199	13771
M103205	13772
M103207	13773
M103210	13774
M103218	13775
M103219	13776
M10322	13777
M103222	13711
M103224	13712
M103225	13713
M103227	13714
M103228	3
M10323	13715
M103230	13716
M103235	13717
M103238	13718
M103241	13719
M103245	552
M103247	2963
M103249	13720
M10325	13721
M103254	13722
M103258	13723
M103259	552
M10326	2963
M103260	2964
M103261	552
M103262	552
M103264	127
M103269	13724
M10327	13725
M103270	13726
M103272	13727
M103273	13728
M103278	13729
M10328	13730
M103289	13731
M103292	13732
M103293	13733
M103294	13734
M103296	13735
M10330	13736
M103300	13737
M103303	13738
M103304	13739
M103307	2964
M103314	13740
M103316	13741
M103318	13742
M103320	13743
M103322	13744
M103325	13680
M10333	13681
M103340	13682
M103347	2958
M103351	2959
M103355	10
M103356	2960
M103357	2960
M103358	13683
M103363	2961
M103372	13684
M103380	23
M103381	3
M103384	13685
M10339	1156
M103395	1156
M103396	13686
M103399	13687
M103407	13688
M103408	13689
M103410	2962
M10342	13690
M103426	13691
M103429	1156
M10343	2958
M103432	13692
M103436	13693
M10344	13694
M103443	13695
M103445	13696
M10345	2962
M103451	13697
M103453	13698
M103455	60
M103458	23
M10346	2959
M103464	13699
M103465	13700
M103470	13701
M103471	13702
M103474	13703
M103484	10
M103486	61
M103487	13704
M103493	13705
M103494	13706
M1035	2961
M10350	13707
M103500	13708
M103501	13709
M103504	13710
M103506	13649
M103508	13650
M103511	13651
M103512	2953
M103513	551
M103514	13652
M103517	551
M103518	13653
M103525	2954
M103527	13654
M103529	551
M103530	2953
M103531	13655
M103533	13656
M103534	13657
M103536	2955
M103539	2955
M103540	13658
M103541	13659
M103544	13660
M103547	13661
M103548	13662
M103551	13663
M103560	13664
M103562	13665
M103565	13666
M103566	13667
M103567	13668
M103568	13669
M103571	13670
M103576	13671
M103579	13672
M10358	13673
M103580	2956
M103581	551
M103583	13674
M103584	13675
M103585	22
M103587	2957
M103592	2957
M103593	13676
M103596	13677
M103597	22
M10360	2954
M103604	548
M103605	2956
M103609	13678
M10361	13679
M103613	13616
M103617	13617
M10362	13618
M103620	13619
M103628	13620
M103632	13621
M103638	13622
M103639	13623
M103641	13624
M103643	13625
M103644	2949
M103653	13626
M103659	2950
M103667	13627
M103668	2951
M10367	13628
M103670	13629
M103674	13630
M10368	13631
M103681	13632
M103686	13633
M10369	13634
M103691	13635
M103696	13636
M10370	13637
M103703	13638
M103704	2952
M103706	13639
M103708	13640
M10371	13641
M103710	2950
M103711	2949
M103712	13642
M103713	13643
M103714	22
M103715	13644
M103716	13645
M103717	2952
M10372	61
M103720	13646
M103722	2951
M103723	13647
M103728	13648
M10373	2854
M103730	13584
M103733	13585
M103738	13586
M103740	2945
M103744	310
M103754	127
M103756	89
M103758	13587
M103765	13588
M103766	2946
M103767	2946
M103768	13589
M103769	13590
M103770	13591
M103771	23
M103774	13592
M103775	13593
M103776	13594
M103777	13595
M103782	13596
M103787	13597
M10379	2947
M103798	13598
M103799	13599
M1038	13600
M10380	13601
M103800	13602
M103804	2948
M10381	13603
M103810	13604
M103812	13605
M103816	13606
M103817	2947
M10382	13607
M103821	2948
M103825	10
M103832	13608
M103836	13609
M103838	13610
M10384	13611
M10385	2945
M103852	13612
M103858	13613
M10386	13614
M103861	13615
M103867	13554
M103868	13555
M103869	13556
M103871	2939
M103874	2939
M103876	13557
M103878	13558
M10388	2940
M103880	2941
M103883	2941
M103884	13559
M103887	2942
M103889	2943
M10389	13560
M103891	13561
M103892	13562
M103893	13563
M103895	13564
M103898	13565
M10390	13566
M103901	13567
M103902	13568
M103909	2944
M103910	13569
M103915	13570
M103916	13571
M103917	13572
M103919	13573
M10392	13574
M103920	2943
M103922	13575
M103926	13576
M103932	2944
M10394	13577
M103940	13578
M103943	2942
M103944	13579
M10395	13580
M103960	13581
M103961	13582
M103963	2940
M103965	13583
M103971	13520
M103972	2854
M103973	13521
M103976	13522
M103977	2938
M10398	13523
M103980	13524
M103982	13525
M103983	13526
M103986	13527
M103987	13528
M103990	1155
M103991	13529
M103994	61
M103998	13530
M103999	13531
M104	13532
M1040	13533
M10400	1155
M104000	13534
M104004	13535
M104007	13536
M104008	13537
M104009	13538
M10401	13539
M104010	13540
M104014	13541
M104015	13542
M104019	13543
M10402	13544
M104020	13545
M104021	13546
M104027	13547
M10403	13548
M104038	13549
M104039	2938
M10404	1155
M104042	13550
M104045	13551
M104049	13552
M104050	13553
M104051	13497
M104052	2927
M104053	13498
M104056	13499
M104058	2928
M10406	13500
M104063	550
M104065	550
M104067	13501
M104068	13502
M104070	23
M104072	13503
M104073	13504
M104074	2929
M104081	2929
M104084	13505
M104085	13506
M104099	13507
M1041	2930
M10410	13508
M104100	13509
M104101	2931
M104102	13510
M104103	2932
M10411	2932
M104110	13511
M104112	2927
M104113	89
M104116	13512
M104119	13513
M10412	13514
M104120	2931
M104121	13515
M104126	13516
M104129	2933
M10413	2933
M104131	2934
M104135	13517
M10414	550
M104140	2935
M104142	2930
M104143	13518
M104145	2855
M104149	2934
M104153	2936
M104158	2936
M10416	2935
M104162	550
M104165	127
M104169	2928
M10417	2937
M104170	2937
M104171	13519
M104174	13464
M104186	13465
M104187	13466
M104193	13467
M104199	1142
M1042	13468
M104200	13469
M104201	13470
M104203	23
M104210	13471
M104212	13472
M104219	13473
M104225	13474
M10423	127
M104232	89
M104234	10
M104236	13475
M104238	13476
M104239	13477
M10424	13478
M104240	13479
M104241	13480
M104243	310
M104244	127
M104249	1143
M104251	13481
M104252	13482
M104254	13483
M104256	2926
M104259	2926
M10426	13484
M104278	13485
M104279	13486
M10428	13487
M104280	13488
M104282	13489
M104283	13490
M104284	13491
M104288	13492
M10429	13493
M104298	13494
M1043	13495
M10430	13496
M104300	13438
M104305	13439
M104306	2920
M104307	13440
M104308	13441
M104309	13442
M104310	13443
M104313	549
M104314	13444
M104317	13445
M104319	13446
M10432	13447
M104324	13448
M104325	13449
M104329	2921
M104334	13450
M104336	13451
M10434	2922
M104346	13452
M104350	13453
M104352	13454
M104353	13455
M104356	2923
M104358	13456
M104360	2924
M104365	2924
M104367	13457
M10437	2925
M104372	13458
M104376	549
M10438	2925
M104380	2921
M104389	13459
M10439	549
M104391	549
M104393	2923
M104395	13460
M1044	2922
M104400	13461
M104401	62
M104406	2920
M104407	13462
M104408	13463
M10441	13408
M104411	13409
M104413	13410
M104415	13411
M104417	2916
M104419	2916
M10442	2917
M104420	13412
M104421	13413
M104424	13414
M104425	13415
M104427	13416
M104428	13417
M104433	13418
M104434	1143
M104437	127
M104438	2918
M104439	2918
M104443	13419
M104444	13420
M104445	13421
M10445	2917
M104453	1142
M104461	13422
M104465	2919
M104469	13423
M104471	13424
M104472	13425
M104474	13426
M104478	13427
M104481	2919
M104482	23
M10450	13428
M104503	13429
M104506	13430
M10451	13431
M104510	13432
M104512	13433
M104513	13434
M104514	13435
M104515	13436
M104516	13437
M104518	13375
M104519	13376
M104521	2915
M104527	13377
M104529	13378
M104531	13379
M104532	13380
M104539	13381
M104540	13382
M104547	13383
M10455	13384
M104552	13385
M104556	13386
M104557	13387
M104559	13388
M10456	13389
M104563	13390
M104565	22
M104569	13391
M10457	13392
M104578	13393
M10459	13394
M104592	13395
M104594	13396
M104595	13397
M104597	13398
M104599	2915
M1046	13399
M10460	13400
M104600	13401
M104602	13402
M104604	13403
M104610	13404
M104611	13405
M104613	13406
M104614	13407
M104615	13344
M104616	13345
M104617	13346
M104619	13347
M104621	13348
M104623	13349
M104626	13350
M104627	13351
M104629	13352
M10463	13353
M104631	13354
M104634	13355
M104635	1154
M104636	13356
M104639	13357
M104640	13358
M10465	13359
M104651	13360
M104652	13361
M104654	2913
M10466	13362
M104662	13363
M104663	13364
M104664	13365
M104665	1154
M104666	1154
M104669	13366
M10467	13367
M104670	2913
M104675	13368
M104676	13369
M104677	2914
M104678	2914
M10468	13370
M10469	13371
M104692	13372
M104694	13373
M104698	13374
M1047	2907
M10470	2907
M104706	13319
M10471	13320
M104711	13321
M104715	2908
M104716	544
M104717	13322
M10472	13323
M104721	1153
M104725	13324
M104727	1153
M104729	13325
M104730	13326
M104737	13327
M10474	13328
M104743	13329
M104744	2908
M104745	13330
M104746	13331
M104747	1153
M10475	22
M104759	2909
M104760	2909
M104761	13332
M104766	3
M104770	2910
M104772	12783
M104773	2911
M104774	2911
M104777	13333
M104779	13334
M104784	13335
M104787	13336
M104790	13337
M104791	13338
M104794	13339
M104795	13340
M104797	13341
M104798	2912
M104799	2912
M1048	2910
M104802	13342
M104804	13343
M104809	1152
M10481	13290
M104813	13291
M104814	13292
M104818	13293
M104823	2905
M104834	13294
M104836	13295
M104838	13296
M10484	13297
M104846	2906
M104849	2906
M10485	13298
M104850	13299
M104855	13300
M10486	13301
M104860	13302
M104862	13303
M104867	13304
M104868	13305
M104869	13306
M104870	13307
M104871	13308
M104872	13309
M104873	2905
M10488	13310
M10489	13311
M104896	13312
M104897	13313
M104899	1152
M1049	13314
M10490	13315
M104902	1152
M104908	23
M104913	10
M104914	13316
M104915	61
M104917	61
M104919	13317
M104923	13318
M104924	13260
M104926	13261
M104928	13262
M10493	13263
M104936	13264
M104937	13265
M104939	13266
M104943	13267
M104946	2903
M104947	13268
M10495	13269
M104951	61
M104955	13270
M104956	13271
M104959	127
M10496	13272
M104964	13273
M104965	13274
M104966	13275
M104968	13276
M104969	13277
M104971	2904
M104972	2904
M104973	13278
M104974	2903
M104975	13279
M104977	13280
M104981	13281
M104988	13282
M10499	2855
M104990	13283
M104991	13284
M104993	13285
M104994	13286
M105	13287
M1050	13288
M10500	13289
M105003	13231
M105007	13232
M105009	13233
M105010	13234
M105011	13235
M105012	13236
M105013	13237
M105014	13238
M105015	13239
M105016	13240
M105018	13241
M105019	61
M105022	23
M105027	13242
M105028	13243
M10503	10
M105030	61
M105032	13244
M105034	1151
M105035	13245
M10504	13246
M105045	2901
M10505	2901
M105055	2902
M105059	2902
M105068	13247
M105072	13248
M10509	1151
M105094	1151
M105098	13249
M105099	13250
M105100	10
M105106	13251
M105107	13252
M105108	13253
M105109	13254
M105113	13255
M105117	13256
M105119	13257
M105122	13258
M105123	13259
M105124	13200
M105125	13201
M105130	13202
M105134	13203
M105136	2900
M105137	13204
M105139	13205
M10514	13206
M105143	13207
M105150	13208
M105155	13209
M105157	13210
M10516	13211
M105160	13212
M105163	13213
M105168	13214
M105169	13215
M105171	13216
M105172	13217
M105176	13218
M105177	2900
M105179	13219
M105181	13220
M105183	13221
M105185	13222
M105191	13223
M1052	13224
M105201	13225
M105208	13226
M105211	13227
M105213	13228
M105217	13229
M105221	13230
M105225	13173
M10523	13174
M105236	13175
M105240	2897
M105241	13176
M105245	13177
M105248	13178
M10525	13179
M105250	13180
M105256	13181
M105257	13182
M105259	23
M105260	547
M105263	13183
M105264	13184
M105265	13185
M105266	13186
M105267	60
M105268	547
M105269	13187
M10527	547
M105277	547
M10528	13188
M105280	13189
M105282	13190
M105284	1150
M105287	1150
M105290	13191
M105292	13192
M105295	13193
M105298	13194
M105305	2898
M105306	1150
M105309	13195
M10531	13196
M105315	13197
M105316	2897
M105319	2898
M10532	13198
M105320	2899
M105323	2899
M105325	13199
M105329	12784
M105330	13149
M105331	2892
M105332	13150
M105336	13151
M10534	13152
M105341	2892
M105348	190
M105351	2893
M105352	13153
M105355	2894
M105356	13154
M105358	10
M105359	13155
M10536	2895
M105371	2895
M105372	2893
M105375	312
M105377	13156
M105379	312
M10538	13157
M105380	13158
M105382	13159
M105383	13160
M105384	13161
M105389	13162
M105392	13163
M105393	13164
M105399	13165
M105402	312
M105405	2896
M105406	2896
M105409	13166
M105416	13167
M105417	2894
M105423	312
M105425	312
M105426	13168
M105427	13169
M105429	13170
M105430	13171
M105434	13172
M105436	13124
M105441	13125
M105445	13126
M105447	13127
M105448	13128
M105449	1148
M10545	13129
M105451	13130
M105455	13131
M105456	13132
M105457	13133
M105463	13134
M105470	2889
M105471	13135
M105472	1148
M105473	2889
M105474	13136
M105476	13137
M105479	13138
M10548	13139
M105484	1148
M105487	2890
M10549	2890
M105493	13140
M105494	13141
M105496	1149
M105500	13142
M105502	13143
M105503	13144
